,,card_name,strength_score,predicted,error,abs_error
over,95,Heritage Reclamation,0.0,0.4706477,0.4706477,0.4706477
over,246,United Battlefront,0.0667856800072892,0.4788405,0.4120548199927108,0.4120548199927108
over,67,"Elspeth, Storm Slayer",0.1254844588924897,0.47723877,0.3517543111075103,0.3517543111075103
over,253,Voice of Victory,0.138136757456282,0.47225872,0.334121962543718,0.334121962543718
over,238,Traveling Botanist,0.1797197868837964,0.47836095,0.2986411631162036,0.2986411631162036
over,245,Unending Whisper,0.2650829618073123,0.44645172,0.18136875819268772,0.18136875819268772
over,157,Qarsi Revenant,0.2777347664612416,0.45315093,0.17541616353875839,0.17541616353875839
over,219,Sunpearl Kirin,0.2704288157074783,0.43723136,0.16680254429252173,0.16680254429252173
over,3,Aegis Sculptor,0.4692796610169492,0.6037904,0.13451073898305077,0.13451073898305077
over,88,Glacial Dragonhunt,0.3832981847341952,0.48201054,0.0987123552658048,0.0987123552658048
over,265,Winternight Stories,0.411937137430229,0.4891947,0.07725756256977101,0.07725756256977101
over,137,Mistrise Village,0.2954102987654313,0.35656905,0.06115875123456871,0.06115875123456871
over,35,Cori Mountain Monastery,0.4121756969766282,0.4677655,0.0555898030233718,0.0555898030233718
over,240,Twinmaw Stormbrood // Charring Bite,0.4692796610169492,0.50470674,0.035427078983050864,0.035427078983050864
over,236,Trade Route Envoy,0.4692796610169492,0.5029081,0.03362843898305079,0.03362843898305079
over,145,Nature's Rhythm,0.4692796610169492,0.5008869,0.031607238983050845,0.031607238983050845
over,23,Bloomvine Regent // Claim Territory,0.4692796610169492,0.49825907,0.028979408983050847,0.028979408983050847
over,108,Jeskai Monument,0.4692796610169492,0.4981482,0.028868538983050807,0.028868538983050807
over,87,Furious Forebear,0.4692796610169492,0.4970529,0.02777323898305084,0.02777323898305084
over,26,Boulderborn Dragon,0.4692796610169492,0.4960256,0.026745938983050832,0.026745938983050832
under,96,Highspire Bell-Ringer,0.4692796610169492,0.3151994,-0.15408026101694916,0.15408026101694916
under,44,Defibrillating Current,0.4692796610169492,0.3341006,-0.13517906101694915,0.13517906101694915
under,60,Dragon Sniper,0.4886248912364871,0.3537176,-0.1349072912364871,0.1349072912364871
under,61,Dragon's Prey,0.4692796610169492,0.33488727,-0.13439239101694916,0.13439239101694916
under,34,Coordinated Maneuver,0.4692796610169492,0.33539984,-0.13387982101694917,0.13387982101694917
under,15,Auroral Procession,0.4692796610169492,0.33622816,-0.13305150101694918,0.13305150101694918
under,78,Flamehold Grappler,0.4692796610169492,0.33969647,-0.1295831910169492,0.1295831910169492
under,260,Wild Ride,0.4580670611470488,0.32973987,-0.12832719114704882,0.12832719114704882
under,2,Adorned Crocodile,0.4692796610169492,0.34618187,-0.12309779101694918,0.12309779101694918
under,231,Tersa Lightshatter,0.4734188052118043,0.35440487,-0.11901393521180431,0.11901393521180431
under,20,"Betor, Kin to All",0.4692796610169492,0.35058147,-0.11869819101694917,0.11869819101694917
under,19,Bearer of Glory,0.4692796610169492,0.35171753,-0.11756213101694918,0.11756213101694918
under,51,Dispelling Exhale,0.4230269217010652,0.30784348,-0.1151834417010652,0.1151834417010652
under,103,Inspirited Vanguard,0.4692796610169492,0.35521162,-0.11406804101694917,0.11406804101694917
under,269,Zurgo's Vanguard,0.4692796610169492,0.35628685,-0.11299281101694919,0.11299281101694919
under,69,Encroaching Dragonstorm,0.4692796610169492,0.36386928,-0.10541038101694916,0.10541038101694916
under,200,Smile at Death,0.4692796610169492,0.36459672,-0.1046829410169492,0.1046829410169492
under,131,Marang River Regent // Coil and Catch,0.4692796610169492,0.3684047,-0.1008749610169492,0.1008749610169492
under,184,Salt Road Skirmish,0.4692796610169492,0.38943708,-0.07984258101694919,0.07984258101694919
under,16,Avenger of the Fallen,0.4692796610169492,0.41652983,-0.05274983101694919,0.05274983101694919
